date,query_text,impressions,clicks,ctr,avg_position,position_bucket,seo_segment
2026-03-12,лагерь для детей летом 2026,35,33,0.9429,1.06,top_3,other
2026-03-12,компьютерный лагерь,35,23,0.6571,2.40,top_3,other
2026-03-13,москва лукинская улица 8 айдакодить,34,0,0.0000,9.59,top_10,low_ctr
2026-03-13,летний it лагерь для детей,34,27,0.7941,1.44,top_3,other
2026-03-12,ит лагерь,33,28,0.8485,1.12,top_3,other
2026-03-12,лагерь по программированию,33,31,0.9394,1.61,top_3,other
2026-03-13,лагерь для детей в подмосковье,32,0,0.0000,27.97,below_10,low_ctr
2026-03-12,летний it лагерь для детей,32,26,0.8125,1.47,top_3,other
2026-03-13,компьютерный летний лагерь,31,28,0.9032,1.00,top_3,other
2026-03-12,москва лукинская улица 8 айдакодить,30,0,0.0000,9.70,top_10,low_ctr
2026-03-12,компьютерный летний лагерь,30,27,0.9000,1.00,top_3,other
2026-03-13,лагерь в подмосковье на лето 2026,29,0,0.0000,10.59,below_10,other
2026-03-12,лагерь для детей в подмосковье,29,0,0.0000,27.93,below_10,other
2026-03-13,лечение телефонной зависимости у подростков v-gotlib.ru,28,0,0.0000,5.36,top_10,growth_zone
2026-03-13,лагерь летний программирование,28,28,1.0000,1.00,top_3,other
2026-03-12,лечение телефонной зависимости у подростков v-gotlib.ru,28,0,0.0000,5.36,top_10,growth_zone
2026-03-13,лагерь детский в подмосковье на лето 2026,27,0,0.0000,10.22,below_10,other
2026-03-12,подмосковье лагерь,27,0,0.0000,24.11,below_10,other
2026-03-13,корпоративные подарки детям сотрудников на новый год,27,24,0.8889,1.93,top_3,other
2026-03-12,лагерь в подмосковье на лето 2026,26,0,0.0000,10.65,below_10,other
2026-03-13,летний лагерь программирование,26,25,0.9615,1.00,top_3,other
2026-03-12,лагерь в подмосковье,26,0,0.0000,7.42,top_10,growth_zone
2026-03-12,лагерь летний программирование,25,25,1.0000,1.00,top_3,other
2026-03-13,школа программирования переделкино ближнее,24,0,0.0000,6.33,top_10,growth_zone
2026-03-13,летняя школа программирования для школьников,24,1,0.0417,7.67,top_10,growth_zone
2026-03-12,летний лагерь программирование,24,23,0.9583,1.00,top_3,other
2026-03-12,корпоративные подарки детям сотрудников на новый год,24,21,0.8750,1.88,top_3,other
2026-03-13,летние лагеря для,23,1,0.0435,4.65,top_10,growth_zone
2026-03-13,детский лагерь в подмосковье,23,0,0.0000,12.48,below_10,other
2026-03-12,летняя школа программирования для школьников,23,1,0.0435,7.78,top_10,growth_zone
2026-03-12,школа программирования переделкино ближнее,23,0,0.0000,6.35,top_10,growth_zone
2026-03-12,лагерь подмосковье,23,0,0.0000,7.78,top_10,growth_zone
2026-03-13,майнкрафт лагерь,21,17,0.8095,1.52,top_3,other
